BEN,Billed Entity Name,City,State,Applicant Type,Consulting Firm Name (CRN),C2 Budget Cycle,Child Entity Count,C2 Budget Algorithm,Full Time Students,Library Square Footage,School Student Multiplier,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
132882,MILWAUKEE PUBLIC SCHOOLS,MILWAUKEE,WI,School District,"EDTECH STRATEGIES, LLC (16062713)",FY2026-2030,134,School District Wide (User Selected Aggregate),"68,246",,$201.57 ,,"$13,756,346.22 ",Forecast,$0.00 ,$0.00 ,"$13,756,346.22 "
133013,MADISON METRO SCHOOL DISTRICT,MADISON,WI,School District,E-Rate Central (16060891); E-Rate Consulting Inc. (16043594),FY2026-2030,52,School District Wide,"24,744",,$201.57 ,,"$4,987,648.08 ",Forecast,$0.00 ,$0.00 ,"$4,987,648.08 "
132833,KENOSHA UNIF SCHOOL DIST 1,KENOSHA,WI,School District,,FY2026-2030,40,School District Wide,"21,323",,$201.57 ,,"$4,298,077.11 ",Forecast,$0.00 ,$0.00 ,"$4,298,077.11 "
133193,GREEN BAY AREA PUBLIC SCHOOL DISTRICT,GREEN BAY,WI,School District,E-Rate Central (16060891),FY2026-2030,41,School District Wide,"18,718",,$201.57 ,,"$3,772,987.26 ",Preliminary,$0.00 ,"$1,885,971.04 ","$1,887,016.22 "
132911,RACINE UNIFIED SCHOOL DISTRICT,RACINE,WI,School District,,FY2026-2030,26,School District Wide,"14,982",,$201.57 ,,"$3,019,921.74 ",Forecast,$0.00 ,$0.00 ,"$3,019,921.74 "
133461,APPLETON AREA SCHOOL DISTRICT,APPLETON,WI,School District,,FY2026-2030,39,School District Wide (User Selected Aggregate),"14,485",,$201.57 ,,"$2,919,741.45 ",Forecast,$0.00 ,$0.00 ,"$2,919,741.45 "
132875,WAUKESHA SCHOOL DISTRICT,WAUKESHA,WI,School District,CESA 10 (17026442),FY2026-2030,23,School District Wide,"10,591",,$201.57 ,,"$2,134,827.87 ",Forecast,$0.00 ,$0.00 ,"$2,134,827.87 "
133349,EAU CLAIRE SCHOOL DISTRICT,EAU CLAIRE,WI,School District,"E-Rate 360 Solutions, LLC (16048893); Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,21,School District Wide,"10,234",,$201.57 ,,"$2,062,867.38 ",Forecast,$0.00 ,$0.00 ,"$2,062,867.38 "
132953,JANESVILLE SCHOOL DISTRICT,JANESVILLE,WI,School District,CESA #11 (17000269),FY2026-2030,22,School District Wide,"9,284",,$201.57 ,,"$1,871,375.88 ",Forecast,$0.00 ,$0.00 ,"$1,871,375.88 "
133456,OSHKOSH AREA SCHOOL DISTRICT,OSHKOSH,WI,School District,"E-Rate 360 Solutions, LLC (16048893); Infinity Communications and Compliance, Inc. (16043605)",FY2026-2030,19,School District Wide,"9,024",,$201.57 ,,"$1,818,967.68 ",Forecast,$0.00 ,$0.00 ,"$1,818,967.68 "
132785,SHEBOYGAN AREA SCHOOL DISTRICT,SHEBOYGAN,WI,School District,,FY2026-2030,24,School District Wide,"9,004",,$201.57 ,,"$1,814,936.28 ",Forecast,$0.00 ,$0.00 ,"$1,814,936.28 "
133006,SUN PRAIRIE AREA SCHOOL DIST,SUN PRAIRIE,WI,School District,,FY2026-2030,16,School District Wide (User Selected Aggregate),"8,278",,$201.57 ,,"$1,668,596.46 ",Forecast,$0.00 ,$0.00 ,"$1,668,596.46 "
132714,ELMBROOK SCHOOL DISTRICT,BROOKFIELD,WI,School District,,FY2026-2030,10,Per Site Basis School District,"7,844",,$201.57 ,,"$1,609,677.52 ",Forecast,$0.00 ,$0.00 ,"$1,609,677.52 "
133196,WAUSAU SCHOOL DISTRICT,WAUSAU,WI,School District,,FY2026-2030,18,School District Wide (User Selected Aggregate),"7,900",,$201.57 ,,"$1,592,403.00 ",Preliminary,$0.00 ,"$159,513.41 ","$1,432,889.59 "
132900,WEST ALLIS-WEST MILWAUKEE SCHOOL DISTRICT,WEST ALLIS,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,14,School District Wide,"7,424",,$201.57 ,,"$1,496,455.68 ",Forecast,$0.00 ,$0.00 ,"$1,496,455.68 "
132969,MIDDLETON-CROSS PLAINS AREA SCHOOL DISTRICT,MIDDLETON,WI,School District,"E-Rate First (16065884); e2e Exchange, LLC (16043595)",FY2026-2030,12,School District Wide,"7,287",,$201.57 ,,"$1,468,840.59 ",Forecast,$0.00 ,$0.00 ,"$1,468,840.59 "
133245,STEVENS POINT AREA SCHOOL DISTRICT,STEVENS POINT,WI,School District,E-Rate First (16065884),FY2026-2030,18,School District Wide (User Selected Aggregate),"7,158",,$201.57 ,,"$1,442,838.06 ",Forecast,$0.00 ,$0.00 ,"$1,442,838.06 "
132899,WAUWATOSA SCHOOL DISTRICT,WAUWATOSA,WI,School District,,FY2026-2030,17,School District Wide,"6,702",,$201.57 ,,"$1,350,922.14 ",Forecast,$0.00 ,$0.00 ,"$1,350,922.14 "
133484,NEENAH JOINT SCHOOL DISTRICT,NEENAH,WI,School District,Fazil Bhimani (16062645),FY2026-2030,15,School District Wide,"6,489",,$201.57 ,,"$1,307,987.73 ",Forecast,$0.00 ,$0.00 ,"$1,307,987.73 "
133467,FOND DU LAC SCHOOL DISTRICT,FOND DU LAC,WI,School District,CESA 9 (16062593),FY2026-2030,14,School District Wide,"6,254",,$201.57 ,,"$1,260,618.78 ",Preliminary,$0.00 ,"$54,864.00 ","$1,205,754.78 "
132848,OAK CREEK-FRANKLIN JT SCH DIST,OAK CREEK,WI,School District,Educational Consortium for Telecom Savings (16024807),FY2026-2030,10,Per Site Basis School District,"6,253",,$201.57 ,,"$1,260,417.21 ",Forecast,$0.00 ,$0.00 ,"$1,260,417.21 "
