BEN,Billed Entity Name,City,State,Applicant Type,C2 Budget Cycle,Child Entity Count,Library Square Footage,Library Multiplier,C2 Budget,C2 Budget Version,Funded C2 Budget Amount,Pending C2 Budget Amount,Available C2 Budget Amount
132906,MILWAUKEE PUBLIC LIBRARY,MILWAUKEE,WI,Library System,FY2021-2025,13,"651,808",$4.50,"$2,906,608.50",Confirmed,"$775,845.43",$0.00,"$2,130,763.07"
157900,KENOSHA PUBLIC LIBRARY,KENOSHA,WI,Library System,FY2021-2025,7,"80,018",$4.50,"$366,752.50",Confirmed,"$170,173.51",$0.00,"$196,578.99"
145824,LA CROSSE PUBLIC LIBRARY MAIN,LA CROSSE,WI,Library,FY2021-2025,0,"74,500",$4.50,"$335,250.00",Confirmed,"$107,530.88",$0.00,"$227,719.12"
133016,MADISON PUBLIC LIBRARY,MADISON,WI,Library System,FY2021-2025,9,"207,164",$4.50,"$946,888.00",Confirmed,"$41,185.62",$0.00,"$905,702.38"
132986,OREGON PUBLIC LIBRARY,OREGON,WI,Library,FY2021-2025,0,"31,257",$4.50,"$47,250.00",Confirmed,"$19,990.48",$0.00,"$27,259.52"
133255,MCMILLAN MEMORIAL LIBRARY,WISCONSIN RAPIDS,WI,Library,FY2021-2025,0,"40,000",$4.50,"$180,000.00",Confirmed,"$7,399.22",$0.00,"$172,600.78"
133022,MONONA PUBLIC LIBRARY,MADISON,WI,Library,FY2021-2025,0,"27,476",$4.50,"$123,642.00",Confirmed,"$6,466.46",$0.00,"$117,175.54"
17035827,COMMUNITY LIBRARY,SALEM,WI,Library System,FY2021-2025,2,"20,500",$4.50,"$92,250.00",Confirmed,"$5,734.34",$0.00,"$86,515.66"
133244,PORTAGE COUNTY PUBLIC LIBRARY,STEVENS POINT,WI,Library System,FY2021-2025,4,"53,512",$4.50,"$277,500.00",Confirmed,"$4,515.34",$0.00,"$272,984.66"
132961,LODI WOMAN'S CLUB PUBLIC LIB,LODI,WI,Library,FY2021-2025,0,"7,300",$4.50,"$32,850.00",Confirmed,"$3,652.01",$0.00,"$29,197.99"
133004,STOUGHTON FREE PUBLIC LIBRARY,STOUGHTON,WI,Library,FY2021-2025,0,"16,000",$4.50,"$72,000.00",Confirmed,"$3,209.39",$0.00,"$68,790.61"
